date,wm_yr_wk,year,month,week
2011-01-29,11101,2011,1,4
2011-01-30,11101,2011,1,4
2011-01-31,11101,2011,1,5
2011-02-01,11101,2011,2,5
2011-02-02,11101,2011,2,5
2011-02-03,11101,2011,2,5
2011-02-04,11101,2011,2,5
2011-02-05,11102,2011,2,5
2011-02-06,11102,2011,2,5
2011-02-07,11102,2011,2,6
2011-02-08,11102,2011,2,6
2011-02-09,11102,2011,2,6
2011-02-10,11102,2011,2,6
2011-02-11,11102,2011,2,6
2011-02-12,11103,2011,2,6
2011-02-13,11103,2011,2,6
2011-02-14,11103,2011,2,7
2011-02-15,11103,2011,2,7
2011-02-16,11103,2011,2,7
2011-02-17,11103,2011,2,7
2011-02-18,11103,2011,2,7
2011-02-19,11104,2011,2,7
2011-02-20,11104,2011,2,7
2011-02-21,11104,2011,2,8
2011-02-22,11104,2011,2,8
2011-02-23,11104,2011,2,8
2011-02-24,11104,2011,2,8
2011-02-25,11104,2011,2,8
2011-02-26,11105,2011,2,8
2011-02-27,11105,2011,2,8
2011-02-28,11105,2011,2,9
2011-03-01,11105,2011,3,9
2011-03-02,11105,2011,3,9
2011-03-03,11105,2011,3,9
2011-03-04,11105,2011,3,9
2011-03-05,11106,2011,3,9
2011-03-06,11106,2011,3,9
2011-03-07,11106,2011,3,10
2011-03-08,11106,2011,3,10
2011-03-09,11106,2011,3,10
2011-03-10,11106,2011,3,10
2011-03-11,11106,2011,3,10
2011-03-12,11107,2011,3,10
2011-03-13,11107,2011,3,10
2011-03-14,11107,2011,3,11
2011-03-15,11107,2011,3,11
2011-03-16,11107,2011,3,11
2011-03-17,11107,2011,3,11
2011-03-18,11107,2011,3,11
2011-03-19,11108,2011,3,11
2011-03-20,11108,2011,3,11
2011-03-21,11108,2011,3,12
2011-03-22,11108,2011,3,12
2011-03-23,11108,2011,3,12
2011-03-24,11108,2011,3,12
2011-03-25,11108,2011,3,12
2011-03-26,11109,2011,3,12
2011-03-27,11109,2011,3,12
2011-03-28,11109,2011,3,13
2011-03-29,11109,2011,3,13
2011-03-30,11109,2011,3,13
2011-03-31,11109,2011,3,13
2011-04-01,11109,2011,4,13
2011-04-02,11110,2011,4,13
2011-04-03,11110,2011,4,13
2011-04-04,11110,2011,4,14
2011-04-05,11110,2011,4,14
2011-04-06,11110,2011,4,14
2011-04-07,11110,2011,4,14
2011-04-08,11110,2011,4,14
2011-04-09,11111,2011,4,14
2011-04-10,11111,2011,4,14
2011-04-11,11111,2011,4,15
2011-04-12,11111,2011,4,15
2011-04-13,11111,2011,4,15
2011-04-14,11111,2011,4,15
2011-04-15,11111,2011,4,15
2011-04-16,11112,2011,4,15
2011-04-17,11112,2011,4,15
2011-04-18,11112,2011,4,16
2011-04-19,11112,2011,4,16
2011-04-20,11112,2011,4,16
2011-04-21,11112,2011,4,16
2011-04-22,11112,2011,4,16
2011-04-23,11113,2011,4,16
2011-04-24,11113,2011,4,16
2011-04-25,11113,2011,4,17
2011-04-26,11113,2011,4,17
2011-04-27,11113,2011,4,17
2011-04-28,11113,2011,4,17
2011-04-29,11113,2011,4,17
2011-04-30,11114,2011,4,17
2011-05-01,11114,2011,5,17
2011-05-02,11114,2011,5,18
2011-05-03,11114,2011,5,18
2011-05-04,11114,2011,5,18
2011-05-05,11114,2011,5,18
2011-05-06,11114,2011,5,18
2011-05-07,11115,2011,5,18
2011-05-08,11115,2011,5,18
2011-05-09,11115,2011,5,19
2011-05-10,11115,2011,5,19
2011-05-11,11115,2011,5,19
2011-05-12,11115,2011,5,19
2011-05-13,11115,2011,5,19
2011-05-14,11116,2011,5,19
2011-05-15,11116,2011,5,19
2011-05-16,11116,2011,5,20
2011-05-17,11116,2011,5,20
2011-05-18,11116,2011,5,20
2011-05-19,11116,2011,5,20
2011-05-20,11116,2011,5,20
2011-05-21,11117,2011,5,20
2011-05-22,11117,2011,5,20
2011-05-23,11117,2011,5,21
2011-05-24,11117,2011,5,21
2011-05-25,11117,2011,5,21
2011-05-26,11117,2011,5,21
2011-05-27,11117,2011,5,21
2011-05-28,11118,2011,5,21
2011-05-29,11118,2011,5,21
2011-05-30,11118,2011,5,22
2011-05-31,11118,2011,5,22
2011-06-01,11118,2011,6,22
2011-06-02,11118,2011,6,22
2011-06-03,11118,2011,6,22
2011-06-04,11119,2011,6,22
2011-06-05,11119,2011,6,22
2011-06-06,11119,2011,6,23
2011-06-07,11119,2011,6,23
2011-06-08,11119,2011,6,23
2011-06-09,11119,2011,6,23
2011-06-10,11119,2011,6,23
2011-06-11,11120,2011,6,23
2011-06-12,11120,2011,6,23
2011-06-13,11120,2011,6,24
2011-06-14,11120,2011,6,24
2011-06-15,11120,2011,6,24
2011-06-16,11120,2011,6,24
2011-06-17,11120,2011,6,24
2011-06-18,11121,2011,6,24
2011-06-19,11121,2011,6,24
2011-06-20,11121,2011,6,25
2011-06-21,11121,2011,6,25
2011-06-22,11121,2011,6,25
2011-06-23,11121,2011,6,25
2011-06-24,11121,2011,6,25
2011-06-25,11122,2011,6,25
2011-06-26,11122,2011,6,25
2011-06-27,11122,2011,6,26
2011-06-28,11122,2011,6,26
2011-06-29,11122,2011,6,26
2011-06-30,11122,2011,6,26
2011-07-01,11122,2011,7,26
2011-07-02,11123,2011,7,26
2011-07-03,11123,2011,7,26
2011-07-04,11123,2011,7,27
2011-07-05,11123,2011,7,27
2011-07-06,11123,2011,7,27
2011-07-07,11123,2011,7,27
2011-07-08,11123,2011,7,27
2011-07-09,11124,2011,7,27
2011-07-10,11124,2011,7,27
2011-07-11,11124,2011,7,28
2011-07-12,11124,2011,7,28
2011-07-13,11124,2011,7,28
2011-07-14,11124,2011,7,28
2011-07-15,11124,2011,7,28
2011-07-16,11125,2011,7,28
2011-07-17,11125,2011,7,28
2011-07-18,11125,2011,7,29
2011-07-19,11125,2011,7,29
2011-07-20,11125,2011,7,29
2011-07-21,11125,2011,7,29
2011-07-22,11125,2011,7,29
2011-07-23,11126,2011,7,29
2011-07-24,11126,2011,7,29
2011-07-25,11126,2011,7,30
2011-07-26,11126,2011,7,30
2011-07-27,11126,2011,7,30
2011-07-28,11126,2011,7,30
2011-07-29,11126,2011,7,30
2011-07-30,11127,2011,7,30
2011-07-31,11127,2011,7,30
2011-08-01,11127,2011,8,31
2011-08-02,11127,2011,8,31
2011-08-03,11127,2011,8,31
2011-08-04,11127,2011,8,31
2011-08-05,11127,2011,8,31
2011-08-06,11128,2011,8,31
2011-08-07,11128,2011,8,31
2011-08-08,11128,2011,8,32
2011-08-09,11128,2011,8,32
2011-08-10,11128,2011,8,32
2011-08-11,11128,2011,8,32
2011-08-12,11128,2011,8,32
2011-08-13,11129,2011,8,32
2011-08-14,11129,2011,8,32
2011-08-15,11129,2011,8,33
2011-08-16,11129,2011,8,33
2011-08-17,11129,2011,8,33
2011-08-18,11129,2011,8,33
2011-08-19,11129,2011,8,33
2011-08-20,11130,2011,8,33
2011-08-21,11130,2011,8,33
2011-08-22,11130,2011,8,34
2011-08-23,11130,2011,8,34
2011-08-24,11130,2011,8,34
2011-08-25,11130,2011,8,34
2011-08-26,11130,2011,8,34
2011-08-27,11131,2011,8,34
2011-08-28,11131,2011,8,34
2011-08-29,11131,2011,8,35
2011-08-30,11131,2011,8,35
2011-08-31,11131,2011,8,35
2011-09-01,11131,2011,9,35
2011-09-02,11131,2011,9,35
2011-09-03,11132,2011,9,35
2011-09-04,11132,2011,9,35
2011-09-05,11132,2011,9,36
2011-09-06,11132,2011,9,36
2011-09-07,11132,2011,9,36
2011-09-08,11132,2011,9,36
2011-09-09,11132,2011,9,36
2011-09-10,11133,2011,9,36
2011-09-11,11133,2011,9,36
2011-09-12,11133,2011,9,37
2011-09-13,11133,2011,9,37
2011-09-14,11133,2011,9,37
2011-09-15,11133,2011,9,37
2011-09-16,11133,2011,9,37
2011-09-17,11134,2011,9,37
2011-09-18,11134,2011,9,37
2011-09-19,11134,2011,9,38
2011-09-20,11134,2011,9,38
2011-09-21,11134,2011,9,38
2011-09-22,11134,2011,9,38
2011-09-23,11134,2011,9,38
2011-09-24,11135,2011,9,38
2011-09-25,11135,2011,9,38
2011-09-26,11135,2011,9,39
2011-09-27,11135,2011,9,39
2011-09-28,11135,2011,9,39
2011-09-29,11135,2011,9,39
2011-09-30,11135,2011,9,39
2011-10-01,11136,2011,10,39
2011-10-02,11136,2011,10,39
2011-10-03,11136,2011,10,40
2011-10-04,11136,2011,10,40
2011-10-05,11136,2011,10,40
2011-10-06,11136,2011,10,40
2011-10-07,11136,2011,10,40
2011-10-08,11137,2011,10,40
2011-10-09,11137,2011,10,40
2011-10-10,11137,2011,10,41
2011-10-11,11137,2011,10,41
2011-10-12,11137,2011,10,41
2011-10-13,11137,2011,10,41
2011-10-14,11137,2011,10,41
2011-10-15,11138,2011,10,41
2011-10-16,11138,2011,10,41
2011-10-17,11138,2011,10,42
2011-10-18,11138,2011,10,42
2011-10-19,11138,2011,10,42
2011-10-20,11138,2011,10,42
2011-10-21,11138,2011,10,42
2011-10-22,11139,2011,10,42
2011-10-23,11139,2011,10,42
2011-10-24,11139,2011,10,43
2011-10-25,11139,2011,10,43
2011-10-26,11139,2011,10,43
2011-10-27,11139,2011,10,43
2011-10-28,11139,2011,10,43
2011-10-29,11140,2011,10,43
2011-10-30,11140,2011,10,43
2011-10-31,11140,2011,10,44
2011-11-01,11140,2011,11,44
2011-11-02,11140,2011,11,44
2011-11-03,11140,2011,11,44
2011-11-04,11140,2011,11,44
2011-11-05,11141,2011,11,44
2011-11-06,11141,2011,11,44
2011-11-07,11141,2011,11,45
2011-11-08,11141,2011,11,45
2011-11-09,11141,2011,11,45
2011-11-10,11141,2011,11,45
2011-11-11,11141,2011,11,45
2011-11-12,11142,2011,11,45
2011-11-13,11142,2011,11,45
2011-11-14,11142,2011,11,46
2011-11-15,11142,2011,11,46
2011-11-16,11142,2011,11,46
2011-11-17,11142,2011,11,46
2011-11-18,11142,2011,11,46
2011-11-19,11143,2011,11,46
2011-11-20,11143,2011,11,46
2011-11-21,11143,2011,11,47
2011-11-22,11143,2011,11,47
2011-11-23,11143,2011,11,47
2011-11-24,11143,2011,11,47
2011-11-25,11143,2011,11,47
2011-11-26,11144,2011,11,47
2011-11-27,11144,2011,11,47
2011-11-28,11144,2011,11,48
2011-11-29,11144,2011,11,48
2011-11-30,11144,2011,11,48
2011-12-01,11144,2011,12,48
2011-12-02,11144,2011,12,48
2011-12-03,11145,2011,12,48
2011-12-04,11145,2011,12,48
2011-12-05,11145,2011,12,49
2011-12-06,11145,2011,12,49
2011-12-07,11145,2011,12,49
2011-12-08,11145,2011,12,49
2011-12-09,11145,2011,12,49
2011-12-10,11146,2011,12,49
2011-12-11,11146,2011,12,49
2011-12-12,11146,2011,12,50
2011-12-13,11146,2011,12,50
2011-12-14,11146,2011,12,50
2011-12-15,11146,2011,12,50
2011-12-16,11146,2011,12,50
2011-12-17,11147,2011,12,50
2011-12-18,11147,2011,12,50
2011-12-19,11147,2011,12,51
2011-12-20,11147,2011,12,51
2011-12-21,11147,2011,12,51
2011-12-22,11147,2011,12,51
2011-12-23,11147,2011,12,51
2011-12-24,11148,2011,12,51
2011-12-25,11148,2011,12,51
2011-12-26,11148,2011,12,52
2011-12-27,11148,2011,12,52
2011-12-28,11148,2011,12,52
2011-12-29,11148,2011,12,52
2011-12-30,11148,2011,12,52
2011-12-31,11149,2011,12,52
2012-01-01,11149,2012,1,52
2012-01-02,11149,2012,1,1
2012-01-03,11149,2012,1,1
2012-01-04,11149,2012,1,1
2012-01-05,11149,2012,1,1
2012-01-06,11149,2012,1,1
2012-01-07,11150,2012,1,1
2012-01-08,11150,2012,1,1
2012-01-09,11150,2012,1,2
2012-01-10,11150,2012,1,2
2012-01-11,11150,2012,1,2
2012-01-12,11150,2012,1,2
2012-01-13,11150,2012,1,2
2012-01-14,11151,2012,1,2
2012-01-15,11151,2012,1,2
2012-01-16,11151,2012,1,3
2012-01-17,11151,2012,1,3
2012-01-18,11151,2012,1,3
2012-01-19,11151,2012,1,3
2012-01-20,11151,2012,1,3
2012-01-21,11152,2012,1,3
2012-01-22,11152,2012,1,3
2012-01-23,11152,2012,1,4
2012-01-24,11152,2012,1,4
2012-01-25,11152,2012,1,4
2012-01-26,11152,2012,1,4
2012-01-27,11152,2012,1,4
2012-01-28,11201,2012,1,4
2012-01-29,11201,2012,1,4
2012-01-30,11201,2012,1,5
2012-01-31,11201,2012,1,5
2012-02-01,11201,2012,2,5
2012-02-02,11201,2012,2,5
2012-02-03,11201,2012,2,5
2012-02-04,11202,2012,2,5
2012-02-05,11202,2012,2,5
2012-02-06,11202,2012,2,6
2012-02-07,11202,2012,2,6
2012-02-08,11202,2012,2,6
2012-02-09,11202,2012,2,6
2012-02-10,11202,2012,2,6
2012-02-11,11203,2012,2,6
2012-02-12,11203,2012,2,6
2012-02-13,11203,2012,2,7
2012-02-14,11203,2012,2,7
2012-02-15,11203,2012,2,7
2012-02-16,11203,2012,2,7
2012-02-17,11203,2012,2,7
2012-02-18,11204,2012,2,7
2012-02-19,11204,2012,2,7
2012-02-20,11204,2012,2,8
2012-02-21,11204,2012,2,8
2012-02-22,11204,2012,2,8
2012-02-23,11204,2012,2,8
2012-02-24,11204,2012,2,8
2012-02-25,11205,2012,2,8
2012-02-26,11205,2012,2,8
2012-02-27,11205,2012,2,9
2012-02-28,11205,2012,2,9
2012-02-29,11205,2012,2,9
2012-03-01,11205,2012,3,9
2012-03-02,11205,2012,3,9
2012-03-03,11206,2012,3,9
2012-03-04,11206,2012,3,9
2012-03-05,11206,2012,3,10
2012-03-06,11206,2012,3,10
2012-03-07,11206,2012,3,10
2012-03-08,11206,2012,3,10
2012-03-09,11206,2012,3,10
2012-03-10,11207,2012,3,10
2012-03-11,11207,2012,3,10
2012-03-12,11207,2012,3,11
2012-03-13,11207,2012,3,11
2012-03-14,11207,2012,3,11
2012-03-15,11207,2012,3,11
2012-03-16,11207,2012,3,11
2012-03-17,11208,2012,3,11
2012-03-18,11208,2012,3,11
2012-03-19,11208,2012,3,12
2012-03-20,11208,2012,3,12
2012-03-21,11208,2012,3,12
2012-03-22,11208,2012,3,12
2012-03-23,11208,2012,3,12
2012-03-24,11209,2012,3,12
2012-03-25,11209,2012,3,12
2012-03-26,11209,2012,3,13
2012-03-27,11209,2012,3,13
2012-03-28,11209,2012,3,13
2012-03-29,11209,2012,3,13
2012-03-30,11209,2012,3,13
2012-03-31,11210,2012,3,13
2012-04-01,11210,2012,4,13
2012-04-02,11210,2012,4,14
2012-04-03,11210,2012,4,14
2012-04-04,11210,2012,4,14
2012-04-05,11210,2012,4,14
2012-04-06,11210,2012,4,14
2012-04-07,11211,2012,4,14
2012-04-08,11211,2012,4,14
2012-04-09,11211,2012,4,15
2012-04-10,11211,2012,4,15
2012-04-11,11211,2012,4,15
2012-04-12,11211,2012,4,15
2012-04-13,11211,2012,4,15
2012-04-14,11212,2012,4,15
2012-04-15,11212,2012,4,15
2012-04-16,11212,2012,4,16
2012-04-17,11212,2012,4,16
2012-04-18,11212,2012,4,16
2012-04-19,11212,2012,4,16
2012-04-20,11212,2012,4,16
2012-04-21,11213,2012,4,16
2012-04-22,11213,2012,4,16
2012-04-23,11213,2012,4,17
2012-04-24,11213,2012,4,17
2012-04-25,11213,2012,4,17
2012-04-26,11213,2012,4,17
2012-04-27,11213,2012,4,17
2012-04-28,11214,2012,4,17
2012-04-29,11214,2012,4,17
2012-04-30,11214,2012,4,18
2012-05-01,11214,2012,5,18
2012-05-02,11214,2012,5,18
2012-05-03,11214,2012,5,18
2012-05-04,11214,2012,5,18
2012-05-05,11215,2012,5,18
2012-05-06,11215,2012,5,18
2012-05-07,11215,2012,5,19
2012-05-08,11215,2012,5,19
2012-05-09,11215,2012,5,19
2012-05-10,11215,2012,5,19
2012-05-11,11215,2012,5,19
2012-05-12,11216,2012,5,19
2012-05-13,11216,2012,5,19
2012-05-14,11216,2012,5,20
2012-05-15,11216,2012,5,20
2012-05-16,11216,2012,5,20
2012-05-17,11216,2012,5,20
2012-05-18,11216,2012,5,20
2012-05-19,11217,2012,5,20
2012-05-20,11217,2012,5,20
2012-05-21,11217,2012,5,21
2012-05-22,11217,2012,5,21
2012-05-23,11217,2012,5,21
2012-05-24,11217,2012,5,21
2012-05-25,11217,2012,5,21
2012-05-26,11218,2012,5,21
2012-05-27,11218,2012,5,21
2012-05-28,11218,2012,5,22
2012-05-29,11218,2012,5,22
2012-05-30,11218,2012,5,22
2012-05-31,11218,2012,5,22
2012-06-01,11218,2012,6,22
2012-06-02,11219,2012,6,22
2012-06-03,11219,2012,6,22
2012-06-04,11219,2012,6,23
2012-06-05,11219,2012,6,23
2012-06-06,11219,2012,6,23
2012-06-07,11219,2012,6,23
2012-06-08,11219,2012,6,23
2012-06-09,11220,2012,6,23
2012-06-10,11220,2012,6,23
2012-06-11,11220,2012,6,24
2012-06-12,11220,2012,6,24
2012-06-13,11220,2012,6,24
2012-06-14,11220,2012,6,24
2012-06-15,11220,2012,6,24
2012-06-16,11221,2012,6,24
2012-06-17,11221,2012,6,24
2012-06-18,11221,2012,6,25
2012-06-19,11221,2012,6,25
2012-06-20,11221,2012,6,25
2012-06-21,11221,2012,6,25
2012-06-22,11221,2012,6,25
2012-06-23,11222,2012,6,25
2012-06-24,11222,2012,6,25
2012-06-25,11222,2012,6,26
2012-06-26,11222,2012,6,26
2012-06-27,11222,2012,6,26
2012-06-28,11222,2012,6,26
2012-06-29,11222,2012,6,26
2012-06-30,11223,2012,6,26
2012-07-01,11223,2012,7,26
2012-07-02,11223,2012,7,27
2012-07-03,11223,2012,7,27
2012-07-04,11223,2012,7,27
2012-07-05,11223,2012,7,27
2012-07-06,11223,2012,7,27
2012-07-07,11224,2012,7,27
2012-07-08,11224,2012,7,27
2012-07-09,11224,2012,7,28
2012-07-10,11224,2012,7,28
2012-07-11,11224,2012,7,28
2012-07-12,11224,2012,7,28
2012-07-13,11224,2012,7,28
2012-07-14,11225,2012,7,28
2012-07-15,11225,2012,7,28
2012-07-16,11225,2012,7,29
2012-07-17,11225,2012,7,29
2012-07-18,11225,2012,7,29
2012-07-19,11225,2012,7,29
2012-07-20,11225,2012,7,29
2012-07-21,11226,2012,7,29
2012-07-22,11226,2012,7,29
2012-07-23,11226,2012,7,30
2012-07-24,11226,2012,7,30
2012-07-25,11226,2012,7,30
2012-07-26,11226,2012,7,30
2012-07-27,11226,2012,7,30
2012-07-28,11227,2012,7,30
2012-07-29,11227,2012,7,30
2012-07-30,11227,2012,7,31
2012-07-31,11227,2012,7,31
2012-08-01,11227,2012,8,31
2012-08-02,11227,2012,8,31
2012-08-03,11227,2012,8,31
2012-08-04,11228,2012,8,31
2012-08-05,11228,2012,8,31
2012-08-06,11228,2012,8,32
2012-08-07,11228,2012,8,32
2012-08-08,11228,2012,8,32
2012-08-09,11228,2012,8,32
2012-08-10,11228,2012,8,32
2012-08-11,11229,2012,8,32
2012-08-12,11229,2012,8,32
2012-08-13,11229,2012,8,33
2012-08-14,11229,2012,8,33
2012-08-15,11229,2012,8,33
2012-08-16,11229,2012,8,33
2012-08-17,11229,2012,8,33
2012-08-18,11230,2012,8,33
2012-08-19,11230,2012,8,33
2012-08-20,11230,2012,8,34
2012-08-21,11230,2012,8,34
2012-08-22,11230,2012,8,34
2012-08-23,11230,2012,8,34
2012-08-24,11230,2012,8,34
2012-08-25,11231,2012,8,34
2012-08-26,11231,2012,8,34
2012-08-27,11231,2012,8,35
2012-08-28,11231,2012,8,35
2012-08-29,11231,2012,8,35
2012-08-30,11231,2012,8,35
2012-08-31,11231,2012,8,35
2012-09-01,11232,2012,9,35
2012-09-02,11232,2012,9,35
2012-09-03,11232,2012,9,36
2012-09-04,11232,2012,9,36
2012-09-05,11232,2012,9,36
2012-09-06,11232,2012,9,36
2012-09-07,11232,2012,9,36
2012-09-08,11233,2012,9,36
2012-09-09,11233,2012,9,36
2012-09-10,11233,2012,9,37
2012-09-11,11233,2012,9,37
2012-09-12,11233,2012,9,37
2012-09-13,11233,2012,9,37
2012-09-14,11233,2012,9,37
2012-09-15,11234,2012,9,37
2012-09-16,11234,2012,9,37
2012-09-17,11234,2012,9,38
2012-09-18,11234,2012,9,38
2012-09-19,11234,2012,9,38
2012-09-20,11234,2012,9,38
2012-09-21,11234,2012,9,38
2012-09-22,11235,2012,9,38
2012-09-23,11235,2012,9,38
2012-09-24,11235,2012,9,39
2012-09-25,11235,2012,9,39
2012-09-26,11235,2012,9,39
2012-09-27,11235,2012,9,39
2012-09-28,11235,2012,9,39
2012-09-29,11236,2012,9,39
2012-09-30,11236,2012,9,39
2012-10-01,11236,2012,10,40
2012-10-02,11236,2012,10,40
2012-10-03,11236,2012,10,40
2012-10-04,11236,2012,10,40
2012-10-05,11236,2012,10,40
2012-10-06,11237,2012,10,40
2012-10-07,11237,2012,10,40
2012-10-08,11237,2012,10,41
2012-10-09,11237,2012,10,41
2012-10-10,11237,2012,10,41
2012-10-11,11237,2012,10,41
2012-10-12,11237,2012,10,41
2012-10-13,11238,2012,10,41
2012-10-14,11238,2012,10,41
2012-10-15,11238,2012,10,42
2012-10-16,11238,2012,10,42
2012-10-17,11238,2012,10,42
2012-10-18,11238,2012,10,42
2012-10-19,11238,2012,10,42
2012-10-20,11239,2012,10,42
2012-10-21,11239,2012,10,42
2012-10-22,11239,2012,10,43
2012-10-23,11239,2012,10,43
2012-10-24,11239,2012,10,43
2012-10-25,11239,2012,10,43
2012-10-26,11239,2012,10,43
