item_id,dept_id,cat_id
FOODS_3_180,FOODS_3,FOODS
HOUSEHOLD_2_383,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_409,FOODS_3,FOODS
FOODS_1_097,FOODS_1,FOODS
HOBBIES_1_272,HOBBIES_1,HOBBIES
HOUSEHOLD_1_064,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_368,FOODS_2,FOODS
HOUSEHOLD_1_395,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_1_537,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_410,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_1_343,HOBBIES_1,HOBBIES
FOODS_3_096,FOODS_3,FOODS
FOODS_3_161,FOODS_3,FOODS
HOUSEHOLD_2_004,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_118,FOODS_3,FOODS
HOBBIES_2_034,HOBBIES_2,HOBBIES
FOODS_3_456,FOODS_3,FOODS
FOODS_3_307,FOODS_3,FOODS
FOODS_3_192,FOODS_3,FOODS
HOUSEHOLD_1_298,HOUSEHOLD_1,HOUSEHOLD
FOODS_1_049,FOODS_1,FOODS
FOODS_2_382,FOODS_2,FOODS
HOBBIES_1_135,HOBBIES_1,HOBBIES
FOODS_3_121,FOODS_3,FOODS
HOBBIES_2_114,HOBBIES_2,HOBBIES
HOUSEHOLD_1_444,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_1_022,HOBBIES_1,HOBBIES
HOUSEHOLD_2_389,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_1_202,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_512,FOODS_3,FOODS
HOUSEHOLD_2_221,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_332,FOODS_2,FOODS
HOBBIES_1_287,HOBBIES_1,HOBBIES
FOODS_3_678,FOODS_3,FOODS
HOBBIES_1_100,HOBBIES_1,HOBBIES
HOBBIES_1_409,HOBBIES_1,HOBBIES
HOUSEHOLD_2_062,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_078,FOODS_2,FOODS
FOODS_2_127,FOODS_2,FOODS
FOODS_3_647,FOODS_3,FOODS
FOODS_3_062,FOODS_3,FOODS
FOODS_3_149,FOODS_3,FOODS
HOUSEHOLD_2_234,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_459,FOODS_3,FOODS
FOODS_3_584,FOODS_3,FOODS
HOUSEHOLD_2_359,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_212,FOODS_2,FOODS
FOODS_3_507,FOODS_3,FOODS
HOBBIES_2_005,HOBBIES_2,HOBBIES
FOODS_3_009,FOODS_3,FOODS
HOUSEHOLD_1_468,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_1_446,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_165,FOODS_3,FOODS
HOUSEHOLD_1_291,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_1_349,HOBBIES_1,HOBBIES
HOUSEHOLD_2_318,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_209,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_532,FOODS_3,FOODS
FOODS_3_692,FOODS_3,FOODS
HOBBIES_2_100,HOBBIES_2,HOBBIES
FOODS_3_134,FOODS_3,FOODS
HOBBIES_1_223,HOBBIES_1,HOBBIES
FOODS_3_795,FOODS_3,FOODS
FOODS_2_361,FOODS_2,FOODS
FOODS_1_079,FOODS_1,FOODS
HOBBIES_1_163,HOBBIES_1,HOBBIES
FOODS_3_034,FOODS_3,FOODS
HOBBIES_1_391,HOBBIES_1,HOBBIES
FOODS_3_288,FOODS_3,FOODS
HOBBIES_1_373,HOBBIES_1,HOBBIES
HOUSEHOLD_1_272,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_317,FOODS_2,FOODS
HOBBIES_1_295,HOBBIES_1,HOBBIES
HOUSEHOLD_1_255,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_445,FOODS_3,FOODS
HOBBIES_2_020,HOBBIES_2,HOBBIES
HOUSEHOLD_1_462,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_170,FOODS_3,FOODS
HOUSEHOLD_2_358,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_295,FOODS_2,FOODS
FOODS_2_124,FOODS_2,FOODS
HOBBIES_2_015,HOBBIES_2,HOBBIES
FOODS_3_049,FOODS_3,FOODS
HOBBIES_1_337,HOBBIES_1,HOBBIES
HOBBIES_1_122,HOBBIES_1,HOBBIES
HOUSEHOLD_1_224,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_309,FOODS_3,FOODS
FOODS_3_733,FOODS_3,FOODS
HOBBIES_1_178,HOBBIES_1,HOBBIES
HOUSEHOLD_1_339,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_331,FOODS_3,FOODS
HOBBIES_2_125,HOBBIES_2,HOBBIES
HOBBIES_2_003,HOBBIES_2,HOBBIES
FOODS_2_052,FOODS_2,FOODS
HOUSEHOLD_2_362,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_292,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_1_238,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_1_315,HOBBIES_1,HOBBIES
HOUSEHOLD_2_408,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_003,FOODS_2,FOODS
FOODS_3_179,FOODS_3,FOODS
HOUSEHOLD_2_287,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_1_165,HOBBIES_1,HOBBIES
HOUSEHOLD_2_024,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_1_084,HOBBIES_1,HOBBIES
HOUSEHOLD_1_099,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_1_021,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_046,FOODS_3,FOODS
FOODS_3_701,FOODS_3,FOODS
HOUSEHOLD_1_188,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_1_037,HOBBIES_1,HOBBIES
HOBBIES_1_369,HOBBIES_1,HOBBIES
HOUSEHOLD_2_167,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_254,FOODS_2,FOODS
HOUSEHOLD_1_441,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_146,FOODS_2,FOODS
HOBBIES_1_306,HOBBIES_1,HOBBIES
FOODS_1_176,FOODS_1,FOODS
FOODS_2_352,FOODS_2,FOODS
FOODS_2_259,FOODS_2,FOODS
FOODS_3_600,FOODS_3,FOODS
HOBBIES_2_065,HOBBIES_2,HOBBIES
FOODS_3_805,FOODS_3,FOODS
FOODS_2_285,FOODS_2,FOODS
HOUSEHOLD_2_469,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_166,FOODS_2,FOODS
HOUSEHOLD_1_142,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_2_062,HOBBIES_2,HOBBIES
HOUSEHOLD_2_253,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_183,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_1_170,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_401,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_045,FOODS_3,FOODS
FOODS_2_042,FOODS_2,FOODS
HOUSEHOLD_2_296,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_1_108,HOBBIES_1,HOBBIES
FOODS_1_181,FOODS_1,FOODS
HOBBIES_2_011,HOBBIES_2,HOBBIES
FOODS_3_030,FOODS_3,FOODS
HOUSEHOLD_1_028,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_198,FOODS_3,FOODS
HOBBIES_1_131,HOBBIES_1,HOBBIES
FOODS_2_031,FOODS_2,FOODS
FOODS_3_295,FOODS_3,FOODS
HOBBIES_2_018,HOBBIES_2,HOBBIES
HOBBIES_2_116,HOBBIES_2,HOBBIES
FOODS_3_176,FOODS_3,FOODS
FOODS_3_653,FOODS_3,FOODS
FOODS_3_397,FOODS_3,FOODS
FOODS_3_645,FOODS_3,FOODS
FOODS_1_183,FOODS_1,FOODS
FOODS_3_583,FOODS_3,FOODS
HOUSEHOLD_2_424,HOUSEHOLD_2,HOUSEHOLD
FOODS_1_005,FOODS_1,FOODS
HOUSEHOLD_2_407,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_1_371,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_211,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_1_053,HOBBIES_1,HOBBIES
HOUSEHOLD_2_069,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_457,FOODS_3,FOODS
FOODS_2_159,FOODS_2,FOODS
FOODS_3_751,FOODS_3,FOODS
FOODS_3_465,FOODS_3,FOODS
HOBBIES_2_076,HOBBIES_2,HOBBIES
HOBBIES_1_297,HOBBIES_1,HOBBIES
HOBBIES_1_279,HOBBIES_1,HOBBIES
FOODS_3_367,FOODS_3,FOODS
FOODS_2_311,FOODS_2,FOODS
HOUSEHOLD_1_390,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_355,FOODS_2,FOODS
FOODS_3_765,FOODS_3,FOODS
HOUSEHOLD_1_408,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_328,FOODS_3,FOODS
FOODS_2_223,FOODS_2,FOODS
HOBBIES_1_375,HOBBIES_1,HOBBIES
FOODS_2_387,FOODS_2,FOODS
HOUSEHOLD_2_485,HOUSEHOLD_2,HOUSEHOLD
FOODS_1_148,FOODS_1,FOODS
HOBBIES_2_149,HOBBIES_2,HOBBIES
FOODS_2_348,FOODS_2,FOODS
FOODS_3_123,FOODS_3,FOODS
FOODS_2_045,FOODS_2,FOODS
FOODS_3_636,FOODS_3,FOODS
FOODS_2_188,FOODS_2,FOODS
FOODS_2_096,FOODS_2,FOODS
FOODS_3_087,FOODS_3,FOODS
FOODS_2_184,FOODS_2,FOODS
FOODS_3_023,FOODS_3,FOODS
FOODS_2_173,FOODS_2,FOODS
HOUSEHOLD_1_314,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_126,FOODS_2,FOODS
FOODS_1_177,FOODS_1,FOODS
FOODS_3_356,FOODS_3,FOODS
FOODS_3_072,FOODS_3,FOODS
FOODS_3_008,FOODS_3,FOODS
FOODS_2_369,FOODS_2,FOODS
HOBBIES_1_371,HOBBIES_1,HOBBIES
FOODS_1_083,FOODS_1,FOODS
HOUSEHOLD_2_285,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_389,FOODS_3,FOODS
HOBBIES_2_008,HOBBIES_2,HOBBIES
HOBBIES_1_325,HOBBIES_1,HOBBIES
HOUSEHOLD_1_524,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_423,FOODS_3,FOODS
FOODS_2_303,FOODS_2,FOODS
FOODS_1_108,FOODS_1,FOODS
FOODS_3_590,FOODS_3,FOODS
FOODS_3_227,FOODS_3,FOODS
FOODS_3_642,FOODS_3,FOODS
FOODS_3_693,FOODS_3,FOODS
HOBBIES_2_130,HOBBIES_2,HOBBIES
HOBBIES_1_033,HOBBIES_1,HOBBIES
HOBBIES_2_110,HOBBIES_2,HOBBIES
HOUSEHOLD_1_356,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_1_176,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_486,FOODS_3,FOODS
FOODS_3_674,FOODS_3,FOODS
FOODS_1_115,FOODS_1,FOODS
HOUSEHOLD_1_081,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_1_362,HOBBIES_1,HOBBIES
FOODS_2_324,FOODS_2,FOODS
HOUSEHOLD_2_505,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_393,FOODS_2,FOODS
HOUSEHOLD_2_328,HOUSEHOLD_2,HOUSEHOLD
FOODS_1_124,FOODS_1,FOODS
HOBBIES_2_032,HOBBIES_2,HOBBIES
FOODS_3_542,FOODS_3,FOODS
FOODS_3_652,FOODS_3,FOODS
HOUSEHOLD_2_151,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_057,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_2_115,HOBBIES_2,HOBBIES
HOUSEHOLD_1_144,HOUSEHOLD_1,HOUSEHOLD
FOODS_1_125,FOODS_1,FOODS
FOODS_2_172,FOODS_2,FOODS
HOBBIES_2_067,HOBBIES_2,HOBBIES
HOUSEHOLD_2_280,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_1_015,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_2_143,HOBBIES_2,HOBBIES
FOODS_1_150,FOODS_1,FOODS
HOBBIES_1_339,HOBBIES_1,HOBBIES
FOODS_3_033,FOODS_3,FOODS
FOODS_3_716,FOODS_3,FOODS
FOODS_3_774,FOODS_3,FOODS
HOBBIES_2_089,HOBBIES_2,HOBBIES
FOODS_3_063,FOODS_3,FOODS
HOUSEHOLD_2_130,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_1_269,HOBBIES_1,HOBBIES
HOBBIES_1_288,HOBBIES_1,HOBBIES
FOODS_3_137,FOODS_3,FOODS
HOUSEHOLD_1_037,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_1_259,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_116,FOODS_2,FOODS
HOBBIES_1_246,HOBBIES_1,HOBBIES
HOBBIES_2_002,HOBBIES_2,HOBBIES
HOBBIES_1_257,HOBBIES_1,HOBBIES
FOODS_3_793,FOODS_3,FOODS
FOODS_2_007,FOODS_2,FOODS
FOODS_3_638,FOODS_3,FOODS
HOUSEHOLD_1_467,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_224,FOODS_3,FOODS
FOODS_3_676,FOODS_3,FOODS
FOODS_3_703,FOODS_3,FOODS
FOODS_2_183,FOODS_2,FOODS
FOODS_3_098,FOODS_3,FOODS
HOUSEHOLD_1_521,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_130,FOODS_2,FOODS
HOUSEHOLD_1_153,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_036,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_182,FOODS_2,FOODS
FOODS_3_824,FOODS_3,FOODS
HOBBIES_1_280,HOBBIES_1,HOBBIES
FOODS_2_181,FOODS_2,FOODS
HOBBIES_1_364,HOBBIES_1,HOBBIES
HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD
FOODS_1_179,FOODS_1,FOODS
HOBBIES_1_389,HOBBIES_1,HOBBIES
HOUSEHOLD_2_156,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_207,FOODS_2,FOODS
HOUSEHOLD_2_040,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_2_124,HOBBIES_2,HOBBIES
FOODS_3_364,FOODS_3,FOODS
HOUSEHOLD_2_284,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_346,FOODS_2,FOODS
FOODS_2_210,FOODS_2,FOODS
HOUSEHOLD_2_242,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_742,FOODS_3,FOODS
HOUSEHOLD_1_505,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_1_120,HOBBIES_1,HOBBIES
FOODS_3_075,FOODS_3,FOODS
HOUSEHOLD_2_213,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_436,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_1_343,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_133,FOODS_2,FOODS
HOUSEHOLD_1_239,HOUSEHOLD_1,HOUSEHOLD
FOODS_1_043,FOODS_1,FOODS
HOBBIES_2_073,HOBBIES_2,HOBBIES
HOUSEHOLD_1_187,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_1_143,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_338,FOODS_2,FOODS
HOBBIES_2_084,HOBBIES_2,HOBBIES
HOUSEHOLD_1_012,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_445,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_203,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_327,FOODS_3,FOODS
HOBBIES_1_313,HOBBIES_1,HOBBIES
FOODS_2_299,FOODS_2,FOODS
HOUSEHOLD_1_059,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_140,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_346,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_1_474,HOUSEHOLD_1,HOUSEHOLD
FOODS_1_074,FOODS_1,FOODS
FOODS_2_155,FOODS_2,FOODS
FOODS_2_388,FOODS_2,FOODS
FOODS_2_036,FOODS_2,FOODS
HOUSEHOLD_2_232,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_577,FOODS_3,FOODS
FOODS_2_065,FOODS_2,FOODS
HOUSEHOLD_1_120,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_731,FOODS_3,FOODS
HOBBIES_1_258,HOBBIES_1,HOBBIES
HOUSEHOLD_1_501,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_1_061,HOBBIES_1,HOBBIES
HOBBIES_1_056,HOBBIES_1,HOBBIES
FOODS_3_732,FOODS_3,FOODS
HOBBIES_1_051,HOBBIES_1,HOBBIES
FOODS_3_524,FOODS_3,FOODS
HOBBIES_1_388,HOBBIES_1,HOBBIES
FOODS_3_256,FOODS_3,FOODS
FOODS_2_107,FOODS_2,FOODS
FOODS_3_656,FOODS_3,FOODS
HOBBIES_1_006,HOBBIES_1,HOBBIES
FOODS_3_035,FOODS_3,FOODS
FOODS_2_010,FOODS_2,FOODS
FOODS_3_723,FOODS_3,FOODS
HOUSEHOLD_1_425,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_1_009,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_028,FOODS_3,FOODS
HOUSEHOLD_1_383,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_1_414,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_1_262,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_233,FOODS_2,FOODS
FOODS_2_131,FOODS_2,FOODS
HOUSEHOLD_2_147,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_592,FOODS_3,FOODS
HOBBIES_1_214,HOBBIES_1,HOBBIES
HOUSEHOLD_2_098,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_513,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_330,FOODS_2,FOODS
FOODS_3_379,FOODS_3,FOODS
FOODS_3_388,FOODS_3,FOODS
HOUSEHOLD_1_215,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_1_217,HOBBIES_1,HOBBIES
FOODS_1_109,FOODS_1,FOODS
FOODS_2_280,FOODS_2,FOODS
HOUSEHOLD_1_189,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_094,FOODS_3,FOODS
FOODS_2_231,FOODS_2,FOODS
HOUSEHOLD_2_119,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_006,FOODS_3,FOODS
HOUSEHOLD_1_455,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_1_225,HOBBIES_1,HOBBIES
HOUSEHOLD_2_125,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_346,FOODS_3,FOODS
HOUSEHOLD_1_040,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_354,FOODS_3,FOODS
FOODS_2_205,FOODS_2,FOODS
HOUSEHOLD_2_378,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_083,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_396,FOODS_2,FOODS
FOODS_3_155,FOODS_3,FOODS
FOODS_1_106,FOODS_1,FOODS
FOODS_2_020,FOODS_2,FOODS
HOUSEHOLD_1_167,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_561,FOODS_3,FOODS
FOODS_1_084,FOODS_1,FOODS
FOODS_3_434,FOODS_3,FOODS
FOODS_3_819,FOODS_3,FOODS
FOODS_3_207,FOODS_3,FOODS
FOODS_3_040,FOODS_3,FOODS
HOUSEHOLD_2_483,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_724,FOODS_3,FOODS
FOODS_3_290,FOODS_3,FOODS
FOODS_3_138,FOODS_3,FOODS
FOODS_3_697,FOODS_3,FOODS
HOUSEHOLD_1_062,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_2_119,HOBBIES_2,HOBBIES
HOUSEHOLD_2_108,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_126,FOODS_3,FOODS
FOODS_3_350,FOODS_3,FOODS
HOUSEHOLD_1_500,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_203,FOODS_2,FOODS
FOODS_1_146,FOODS_1,FOODS
HOUSEHOLD_1_249,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_149,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_1_370,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_467,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_114,FOODS_2,FOODS
HOUSEHOLD_2_516,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_252,FOODS_3,FOODS
FOODS_3_622,FOODS_3,FOODS
FOODS_3_043,FOODS_3,FOODS
FOODS_2_053,FOODS_2,FOODS
HOUSEHOLD_2_455,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_155,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_106,FOODS_3,FOODS
FOODS_3_382,FOODS_3,FOODS
HOUSEHOLD_1_065,HOUSEHOLD_1,HOUSEHOLD
FOODS_1_159,FOODS_1,FOODS
HOBBIES_2_123,HOBBIES_2,HOBBIES
FOODS_3_562,FOODS_3,FOODS
HOUSEHOLD_2_159,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_1_301,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_067,FOODS_3,FOODS
FOODS_3_275,FOODS_3,FOODS
FOODS_3_424,FOODS_3,FOODS
HOBBIES_2_070,HOBBIES_2,HOBBIES
HOBBIES_1_021,HOBBIES_1,HOBBIES
FOODS_3_395,FOODS_3,FOODS
FOODS_3_095,FOODS_3,FOODS
FOODS_3_191,FOODS_3,FOODS
HOBBIES_1_419,HOBBIES_1,HOBBIES
HOUSEHOLD_2_060,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_467,FOODS_3,FOODS
FOODS_1_208,FOODS_1,FOODS
HOUSEHOLD_1_338,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_271,FOODS_3,FOODS
HOUSEHOLD_2_497,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_2_030,HOBBIES_2,HOBBIES
HOUSEHOLD_2_493,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_196,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_501,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_229,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_1_105,HOBBIES_1,HOBBIES
HOUSEHOLD_1_454,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_329,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_1_523,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_1_433,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_077,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_735,FOODS_3,FOODS
FOODS_3_675,FOODS_3,FOODS
FOODS_1_003,FOODS_1,FOODS
HOUSEHOLD_2_466,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_444,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_268,FOODS_2,FOODS
HOUSEHOLD_2_150,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_1_387,HOBBIES_1,HOBBIES
HOBBIES_1_241,HOBBIES_1,HOBBIES
FOODS_1_069,FOODS_1,FOODS
FOODS_1_133,FOODS_1,FOODS
FOODS_2_248,FOODS_2,FOODS
HOUSEHOLD_1_209,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_110,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_110,FOODS_3,FOODS
HOUSEHOLD_2_111,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_013,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_2_120,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_051,FOODS_3,FOODS
FOODS_3_143,FOODS_3,FOODS
HOBBIES_1_221,HOBBIES_1,HOBBIES
HOUSEHOLD_2_508,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_500,FOODS_3,FOODS
FOODS_3_194,FOODS_3,FOODS
